state,fips,obama12fo,romney12fo,battle,swing,core_dem,core_rep,normal,medage08,pop2008,medinc08,black,hispanic,pc_less_hs00,pc_degree00
Alabama,1001,0,0,FALSE,FALSE,FALSE,TRUE,0.5720911622047424,36.20000076293945,50354,51622,17.299999237060547,1.7000000476837158,0.21299999952316284,0.18000000715255737
Alabama,1003,0,0,FALSE,FALSE,FALSE,TRUE,0.5780911892652512,38.79999923706055,176212,51957,9.899999618530273,2.299999952316284,0.18000000715255737,0.23100000619888306
Alabama,1005,0,0,FALSE,TRUE,FALSE,FALSE,0.49714963634808856,37.599998474121094,29836,30896,46.79999923706055,3.0999999046325684,0.3529999852180481,0.10899999737739563
Alabama,1007,0,0,FALSE,TRUE,FALSE,FALSE,0.5304703712463379,36.400001525878906,21589,41076,22.5,1.399999976158142,0.36800000071525574,0.07100000232458115
Alabama,1009,0,0,FALSE,FALSE,FALSE,TRUE,0.5550715923309326,37.29999923706055,57794,46086,1.5,6.400000095367432,0.29600000381469727,0.09600000083446503
Alabama,1011,0,0,FALSE,TRUE,FALSE,FALSE,0.4501768747965495,35.20000076293945,10921,26980,71.4000015258789,5.900000095367432,0.39500001072883606,0.07699999958276749
Alabama,1013,0,0,FALSE,TRUE,FALSE,FALSE,0.5178504486878713,39.29999923706055,20171,31449,41.900001525878906,0.8999999761581421,0.32199999690055847,0.10400000214576721
Alabama,1015,0,0,FALSE,TRUE,FALSE,FALSE,0.5230317016442617,38.70000076293945,113422,39997,19.700000762939453,2,0.26100000739097595,0.15199999511241913
Alabama,1017,0,0,FALSE,TRUE,FALSE,FALSE,0.5174801647663116,40.400001525878906,34473,35614,38.599998474121094,1.2000000476837158,0.3580000102519989,0.0949999988079071
Alabama,1019,0,0,FALSE,TRUE,FALSE,FALSE,0.47614415486653644,42.099998474121094,24413,38028,5.5,1.100000023841858,0.36500000953674316,0.09700000286102295
Alabama,1021,0,0,FALSE,TRUE,FALSE,FALSE,0.5486848304669062,36.5,42696,40292,10.5,3.700000047683716,0.33799999952316284,0.0989999994635582
Alabama,1023,0,0,FALSE,TRUE,FALSE,FALSE,0.49670159816741943,42.599998474121094,14083,30728,43.900001525878906,0.800000011920929,0.3499999940395355,0.09600000083446503
Alabama,1025,0,0,FALSE,TRUE,FALSE,FALSE,0.5299043556054434,39.099998474121094,26264,34101,43.70000076293945,0.699999988079071,0.2919999957084656,0.12099999934434891
