year,state_FIPS,county_FIPS,state,county,dvoteswing_inc,dpct_grants,dpc_income,inc_ad_diff,inc_campaign_diff,dhousevote_inc,iraq_cas2004,iraq_cas2008,dpct_popl,comp_state,state_abb
1988,1,1,Alabama,Autauga County,-3.16999816894531,28.4055322408676,0.887300491333008,-0.939999997615814,0,-19.4330139160156,0,0,0.0467417687177658,0,AL
1992,1,1,Alabama,Autauga County,-3.70999908447266,21.7914655804634,0.262367248535156,2.70000004768372,1,11.9723205566406,0,0,0.0698358938097954,0,AL
1996,1,1,Alabama,Autauga County,-1.08000183105469,7.29375034570694,0.36937141418457,0.423000007867813,0,9.5014591217041,0,0,0.117326661944389,0,AL
2000,1,1,Alabama,Autauga County,-5.34999847412109,38.1414592266083,0.267173767089844,0,0,-0.704433441162109,0,0,0.0911532789468765,0,AL
2004,1,1,Alabama,Autauga County,5.34000396728516,29.8187762498856,0.191949844360352,0,0,1.54860687255859,0,0,0.0697711557149887,0,AL
2008,1,1,Alabama,Autauga County,-2.09129333496094,-5.49322105944157,-0.151908874511719,0.0020000000949949,0,-19.8507080078125,0,2,0.0728911459445953,0,AL
1988,1,3,Alabama,Baldwin County,-3.77999877929688,-31.7892581224442,0.54791259765625,-0.939999997615814,0,-40.2762908935547,0,0,0.0910295993089676,0,AL
1992,1,3,Alabama,Baldwin County,-5.36000061035156,77.9053568840027,0.908115386962891,2.70000004768372,1,-37.9267501831055,0,0,0.126213699579239,0,AL
1996,1,3,Alabama,Baldwin County,-1.47000122070312,-0.295697199180722,0.762685775756836,0.423000007867813,0,1.75881576538086,0,0,0.176527976989746,0,AL
2000,1,3,Alabama,Baldwin County,-4.71999931335449,16.2795409560204,0.804256439208984,0,0,0,0,0,0.127148911356926,0,AL
2004,1,3,Alabama,Baldwin County,2.76000213623047,12.3462721705437,1.4421272277832,0,0,1.60394287109375,4,0,0.107634514570236,0,AL
2008,1,3,Alabama,Baldwin County,-1.28604888916016,-39.8998379707336,-0.984363555908203,0.0020000000949949,0,31.8440170288086,0,4,0.125430315732956,0,AL
1988,1,5,Alabama,Barbour County,2.06000137329102,13.2182076573372,1.01666641235352,-0.939999997615814,0,33.3013229370117,0,0,0.0111413914710283,0,AL
1992,1,5,Alabama,Barbour County,-8.31999969482422,-0.143436982762069,0.471572875976562,2.70000004768372,1,-0.485710144042969,0,0,0.0678160935640335,0,AL
1996,1,5,Alabama,Barbour County,4.95000076293945,-24.9572619795799,-0.362140655517578,0.423000007867813,0,9.5014591217041,0,0,0.0503693260252476,0,AL
2000,1,5,Alabama,Barbour County,-2.73999786376953,1.57078541815281,-0.732658386230469,0,0,-0.704433441162109,0,0,0.0260442439466715,0,AL
2004,1,5,Alabama,Barbour County,9.12000274658203,-6.7718118429184,0.596643447875977,0,0,1.54860687255859,0,0,0.014568624086678,0,AL
2008,1,5,Alabama,Barbour County,-4.20356750488281,40.3731644153595,-0.791254043579102,0.0020000000949949,0,-19.8507080078125,0,2,0.0128318285569549,0,AL
1988,1,7,Alabama,Bibb County,-5.41999816894531,6.53688237071037,0.951642990112305,-0.939999997615814,0,-8.45583343505859,0,0,0.00292125064879656,0,AL
1992,1,7,Alabama,Bibb County,-4.38999938964844,10.0851975381374,0.295175552368164,2.70000004768372,1,-9.46267127990723,0,0,0.0785200819373131,0,AL
1996,1,7,Alabama,Bibb County,-0.389999389648438,-40.8643931150436,0.114316940307617,0.423000007867813,0,-15.1799240112305,0,0,0.0851577296853065,0,AL
2000,1,7,Alabama,Bibb County,-8.93999862670898,-3.18560525774956,0.948617935180664,0,0,-41.897216796875,0,0,0.0556526333093643,0,AL
2004,1,7,Alabama,Bibb County,11.180004119873,9.84602198004723,0.875421524047852,0,0,0,1,0,0.0638041719794273,0,AL
2008,1,7,Alabama,Bibb County,0.775657653808594,10.5878539383411,-0.104864120483398,0.0020000000949949,0,0,0,1,0.017964918166399,0,AL
1988,1,9,Alabama,Blount County,-3.36000061035156,9.87645760178566,1.69203186035156,-0.939999997615814,0,-22.5043601989746,0,0,0.0396846979856491,0,AL
1992,1,9,Alabama,Blount County,-4.07000350952148,-3.35604175925255,0.0874557495117188,2.70000004768372,1,29.7694797515869,0,0,0.067241832613945,0,AL
1996,1,9,Alabama,Blount County,-2.10000228881836,-49.4508028030396,0.856998443603516,0.423000007867813,0,-50.8641471862793,0,0,0.110773600637913,0,AL
2000,1,9,Alabama,Blount County,-7.63999938964844,8.25815200805664,0.00657463073730469,0,0,-5.40667724609375,0,0,0.128727063536644,0,AL
2004,1,9,Alabama,Blount County,9.73999786376953,-4.94037345051765,0.351455688476562,0,0,-25.1687622070312,0,0,0.0642425864934921,0,AL
2008,1,9,Alabama,Blount County,3.73800659179688,-19.6991637349129,-0.571392059326172,0.0020000000949949,0,4.59698486328125,0,1,0.0610438957810402,0,AL
1988,1,11,Alabama,Bullock County,-1.1399974822998,159.117519855499,0.287947654724121,-0.939999997615814,0,33.3013229370117,0,0,0.0332594253122807,0,AL
1992,1,11,Alabama,Bullock County,-3.51000022888184,23.1603816151619,0.915628433227539,2.70000004768372,1,-0.485710144042969,0,0,-0.00527539337053895,0,AL
1996,1,11,Alabama,Bullock County,0.5,6.37678503990173,-0.654560089111328,0.423000007867813,0,9.5014591217041,0,0,0.0403595492243767,0,AL
2000,1,11,Alabama,Bullock County,-2.41000366210938,-1.70710440725088,-0.840389251708984,0,0,-0.704433441162109,0,0,0.0025920164771378,0,AL
2004,1,11,Alabama,Bullock County,2.07999992370605,-2.45353598147631,0.860830307006836,0,0,1.54860687255859,0,0,-0.0487762838602066,0,AL
2008,1,11,Alabama,Bullock County,-5.99005699157715,106.132996082306,-0.180582046508789,0.0020000000949949,0,-19.8507080078125,0,0,-0.0105997463688254,0,AL
1988,1,13,Alabama,Butler County,-4.47000122070312,21.9475910067558,0.213432312011719,-0.939999997615814,0,33.3013229370117,0,0,-0.0105155277997255,0,AL
1992,1,13,Alabama,Butler County,-6.6099967956543,32.7081233263016,0.649246215820312,2.70000004768372,1,-0.485710144042969,0,0,-0.0185977388173342,0,AL
1996,1,13,Alabama,Butler County,-0.199996948242188,-49.8683631420135,0.162441253662109,0.423000007867813,0,9.5014591217041,0,0,0.00316600897349417,0,AL
2000,1,13,Alabama,Butler County,-6.68000030517578,-35.1198226213455,0.352611541748047,0,0,-0.704433441162109,0,0,-0.0251566581428051,0,AL
2004,1,13,Alabama,Butler County,5.96000289916992,1.58815458416939,0.706520080566406,0,0,1.54860687255859,0,0,-0.039271805435419103,0,AL
2008,1,13,Alabama,Butler County,-2.60182189941406,103.460550308228,-0.0161800384521484,0.0020000000949949,0,-19.8507080078125,0,0,-0.0148954875767231,0,AL
1988,1,15,Alabama,Calhoun County,-3.22000122070312,-13.9449343085289,0.387794494628906,-0.939999997615814,0,-19.4330139160156,0,0,-0.0367918238043785,0,AL
1992,1,15,Alabama,Calhoun County,-5.78000259399414,16.8914318084717,0.349691390991211,2.70000004768372,1,11.9723205566406,0,0,-0.0124168517068028,0,AL
